Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Multicyde,A Better Day,CD,2001,FALSE,FALSE,FALSE,,,
Multicyde,Multiplicity German Edition,CDA,2001,FALSE,FALSE,FALSE,,,
Multicyde,Playgirl,Promo CD,2001,FALSE,FALSE,FALSE,,,
Multicyde,The Claptrap German Edition,CD,2001,FALSE,FALSE,FALSE,,,
Multicyde,A Better Day,CDS,2001,TRUE,FALSE,FALSE,2,,
Multicyde,Multiplicity,CDA,2001,TRUE,FALSE,FALSE,,,
Opaque,Finally Here,12’’,2001,FALSE,FALSE,FALSE,,,
Opaque,Gourmet Garbage,CD,2001,TRUE,FALSE,FALSE,,,
Oral Bee,Sånn Vi Putter Det Ned,CD,2001,FALSE,FALSE,FALSE,,,
Oral Bee,Den Breiale Stilen,CDS,2001,TRUE,FALSE,FALSE,,,
Organic,Tha Formula,,2001,TRUE,FALSE,FALSE,,,
Organic,Big Brother,CDS,2001,TRUE,FALSE,FALSE,,,
Paperboys,Moving Up / It’s Paper,12’’,2001,FALSE,FALSE,FALSE,,,
Paperboys,Moving Up / It’s Paper,CDS,2001,TRUE,FALSE,FALSE,2,,
Pen Jakke,Generasjon Hip-hop,CD EP,2001,TRUE,FALSE,FALSE,,,
PrOfEsSoR ANARAD,I lOsT mY mInD sOmEwHeRe By Da RiVeRs Of BaByLoN,CD,2001,TRUE,FALSE,FALSE,,,
PrOfEsSoR ANARAD,I lOsT mY mInD sOmEwHeRe By Da RiVeRs Of BaByLoN,12’’,2001,TRUE,FALSE,FALSE,,,
PrOfEsSoR ANARAD,Rebel Boogie,12’’,2001,TRUE,FALSE,FALSE,,,
Raggabalder Riddim Rebels,Ramsalt Dancehall vol. 1,Mixape/demo/samle,2001,FALSE,FALSE,FALSE,,,
Ruffneck Ragga,In Ur Bombaclat,,2001,FALSE,FALSE,FALSE,,,
Salvador,Hardcore Funk,12’’,2001,FALSE,FALSE,FALSE,,,
